mouse,noStimDp,v1StimDp,scStimDp,obStimDp,noStimC,v1StimC,scStimC,obStimC,v1DeltaDp,scDeltaDp,obDeltaDp,nNoStim,nV1Stim,nSCStim,nDualStim,faRate,lapseRate
2452,1.46318844709984,1.20044020449192,1.10603233067473,1.52007210323773,0.230575117612445,0.361949238916404,0.409153175825,0.202133289543499,-0.262748242607919,-0.357156116425111,0.0568836561378918,78,77,76,75,0.167982273511854,0.24
2452,1.68806026213559,1.40449382463698,1.40449382463698,1.54305267446378,0.379727867974574,0.521511086723879,0.521511086723879,0.452231661810479,-0.28356643749861,-0.28356643749861,-0.145007587671811,42,42,42,42,0.110521766488242,0.280487804878049
2452,1.89517362667534,2.03017307875753,1.74090022827303,1.30558383383482,0.591271475976278,0.52377174993518,0.66840817517743,0.886066372396538,0.134999452082197,-0.154273398402305,-0.589589792840519,65,65,66,63,0.0619194479678704,0.2109375
2452,1.7118287745909,1.52713786085462,0.551127452860616,1.05058650789299,0.606170451655933,0.698515908524074,1.18652111252108,0.936791585004888,-0.184690913736282,-1.16070132173028,-0.661242266697909,51,50,50,49,0.0718589813977261,0.346534653465347
2452,1.70802789208151,1.56766198555109,1.04626549001451,1.35587620811448,0.622727484387401,0.692910437652608,0.953608685420897,0.798803326370916,-0.140365906530415,-0.661762402066992,-0.352151683967031,50,51,50,51,0.06987248094094,0.254901960784314
2452,2.32091128810561,2.33072690176667,1.73068711649567,1.69102197245281,0.433856930809784,0.428949123979252,0.728969016614751,0.748801588636184,0.00981561366106343,-0.590224171609935,-0.6298893156528,77,78,76,78,0.0554330212927895,0.157407407407407
2452,2.11947514392242,2.29126800884761,2.02400823082659,1.90274262501899,0.508307846124175,0.422411413661576,0.55604130267209,0.616674105575889,0.171792864925198,-0.0954669130958292,-0.216732518903429,95,95,95,95,0.0584352666118654,0.127659574468085
2452,1.64299349587839,1.55770157601132,1.25926874825276,1.28994374981506,0.370921052215513,0.413567012149046,0.562783426028329,0.547445925247179,-0.0852919198670645,-0.383724747625632,-0.353049746063332,59,57,55,54,0.116548732080066,0.274336283185841
2452,2.1427995515933,2.47444114123277,1.67283848631313,1.7569797678117,0.563953118372034,0.3981323235523,0.798933651012118,0.756863010262833,0.331641589639468,-0.469961065280168,-0.385819783781597,62,63,63,63,0.050987545606591,0.195121951219512
2452,2.28382170524956,2.17513184455334,1.7034670224475,1.50276161012972,0.436941859942012,0.491286790290124,0.727119201343043,0.827471907501932,-0.108689860696223,-0.580354682802061,-0.78106009511984,75,77,73,76,0.0571849222673073,0.128378378378378
